document_id,original_sentence_id,language,original_text,simplified_text
AR_002,1,AR,"تلقى هناك دروسا في العربية لدى معهد الدراسات الإسلامية في مانيلا، وحصل على منحة دراسية من قبل اللجنة الوطنية الكويتة للتربية والعلوم والثقافة ليتلقى تعليمه في المعهد الديني في الكويت.",هناك درس العربية في معهدالدراسات الإسلامية في مانيلا وحصل على منحة دراسية ليدرس في المعهدالديني في الكويت.
AR_008,7,AR,"ساقت الظروف والدتي لترك بلادها وأهلها وأصدقائها للعمل في الخارج، وعلى صعوبة هذا، بالنسبة لفتاة في العشرين من عمرها، فإن مصيرها كان أفضل بكثير من ذلك الذي سيقت إليه أختها، آيدا، التي تكبرها بثلائة أعوام.","تركت والدتي بلادها وأهلها وأصدقائها للعمل في الخارج في العشرين من عمرها، ومصيرها كان أفضل بكثير من مصير أختها، آيدا، التي تكبرهابثلاثة أعوام."
AR_023,22,AR,"التعامل مع البومباي يعني أن تفتح بابا لا يُغلق من الديون، وأن تقبل صاغرا بأن تدفع لأناس يعملون على استثمار حاجتك لصالحهم، وأن تشاهد بعينيك كيف تنمو أموالك وتتكاثر ، لتدخل جيوب غيرك!","التعامل مع البومباي يعني أن تفتح باب لا يغلق من الديون، وأن اتشاهد بعينيك كيف تدخل أموالك جيوب غيرك."
AR_032,31,AR,"كانت جدّتي، غنيمة، أو السيّدة الكبيرة كما تناديها والدتي، حازمة، عصبية المزاج في غالب الأحيان، ورغم جدّيتها وقوة شخصيتها فإنها كانت متطيرة، تؤمن بما تراه في نومها من أحلام إيمانا مطلقا، وترى في كل حلم رسالة لا يمكن إهمالها مهما كان حلمها تافها أو غير مفهوم، وقد كانت تقضي معظم الوقت في البحث عن تفسير لما رأته في منامها، وعادة ما تلجأ إلى مفسري الأحلام إذا ما عجزت عن تفسير حلمها ذاتيا، وعلى اختلاف التفسيرات التي تحصل عليها من مفسري الأحلام تصل إلى حد التناقض أحيانا، فإنها كانت تؤمن بكل ما يقوله أولئك المفسرون وتترقب حدوث ما يحيل رؤاها في المنام واقعا .","كانت جدتي ، غنيمة، أو السيّدة الكبيرة كما تسميها والدتي، قوية الشخصية، عصبية المزاج في غالب الأحيان كانت تؤمن بما تراه في نومها من أحلام إيمانا مُطلقا، وترى في كل حلم رسالة، وقد كانت تقضي معظم الوقت في البحث عن تفسير ما رأته في منامها، وعادة ما تسأل مفسري الأحلام إذا ما استطاعت تفسير حلمها بنفسها، تؤمن بكل ما يقوله أولئك المفسرون وتنتظر حدوث ما تراه في المنام."
AR_045,44,AR,"تواصل والدتي: ""كنت أغسل وأكنس وأمسح طوال اليوم، لأتفرغ في نهايته لأحاديث الليل، بعد نوم سيدات المنزل، مع أبيك في غرفة المكتب.","تواصل والدتي: ""كنت أغسل وأنظف طوال اليوم، وبعد نوم سيدات المنزل أتحدث مع أبيك في غرفةالمكتب."
AR_050,49,AR,"حدثني عن حقوق المرأة المسلوبة، على حد قوله، فالمرأة في بلاد أبيك ليس لها حق المشاركة في الحياة السياسية.","حدثني عن حقوق المرأة، فالمرأة في بلاد أبيك ليس لها حق المشاركة في الحياة السياسية."
AR_052,51,AR,"وكانت والدته تعامله معاملة خاصة، فهو، كما تقول، رجل البيت الوحيد.","وكانت والدته تعامله معاملة خاصة، فهو كما تقول، رجل البيت الوحيد."
AR_207,206,AR,لم تكتفي ميرلا بالأوقات التي تقضيها مع صديقتها المريبة في الخارج أو في البيت.,لم تكتفِ ميرلا بالأوقات التي تقضيها مع صديقتها الغريبة.
AR_228,227,AR,"وفي حين كانوا يبتعدون بين الزحام أطل صاحب الآلة الموسيقية من النافذة الجانبية، وصاح بصوت عال جعل الناس تلتفت نحوي: لا ندري ماذا قال لك هذا المخمور، ولكن، عد للكويت إن كنت صادقا بما تقول، لك، هناك، حقوق كثيرة.","وفي حين كانوا يبتعدون أطل صاحب الآلة الموسيقية من النافذة، وصاح بصوت عال: لا ندري ماذا قال لك هذا المجنون، ولكن، عد للكويت إن كنت صادقا بما تقول، لك، هناك، حقوق كثيرة."
AR_232,231,AR,وكانت العائلة قد قررت أن تبقي جثمان ميندوزا في الكنيسة خمسة أيام كي تتسنى لجميع أفراد العائلة رؤيته قبل أن يوارى الثرى.,وكانت العائلة قد قررت أن تبقي جثمان ميندوزا في الكنيسة خمسة أيام يراه جميع أفراد العائلة قبل دفنه.
AR_261,260,AR,"ترددت عمتي عواطف حين مس الأمر زوجها، ولكنها تداركت: ""أحمد زوجي رجل يخاف الله، ولن يكون ذا موقف سلبي لو علم بالأمر"".","ردت عمتي عواطف حين سمعت اسم زوجها ولكنها قالت: ""أحمد زوجي رجل يخاف الله، ولن يرفض لو علم بالأمر""."
AR_266,265,AR,"لماذا كل ذلك؟ ما الذي يهز صورتها ويجعلها أضحوكة أمام أهل زوجها، وما الذي يعطله وجودي في أمر زواج ابنها وابنتها؟ هي الكلمات ذاتها التي قالتها جدّتي غنيمة لأبي قبل سنوات عندما اكتشفت حمل أمي: ""وأخواتك يا أناني، يا حقير، من سيتزوجهن بعد فعلتك""؟ هذه أمور لست أفهمها، ولم يكن بوسع أمي، عندما كنت هناك، أن تشرحها لي.","لماذا كل ذلك؟ ما الذي يفقدها احترامها ويجعلها أضحوكة أمام أهل زوجها، ولماذا يعطل وجودي زواج ابنها وابنتها؟ هي نفس الكلمات التي قالتها جدّتي غنيمة لأبي قبل سنوات عندما اكتشفت حمل أمي: ""وأخواتك يا أناني؟ يا حقير! من سيتزوجهن بعد فعلتك"" هذه أمور لست أفهمها ولم تفهمها أمي."
AR_276,275,AR,"سنوات عدة عشتها في أرض ميندوزا أستمع فيها إلى حديث أمي: ""يوما ما ستعود إلى بلاد أبيك""، وحين عدت إلى بلاد أبي وجدتهم متورطين بي، يريدونني ولا يريدونني، بعضهم سعيد بعودتي بعضهم في حيرة، والبعض يطلب تسوية الأمر ماديا ويطلب مني العودة: ""إلى بلاد أمك"".","سنوات عشتها في أرض ميندوزا أستمع فيها إلى حديث أمي: ""يوما ما ستعود إلى بلاد أبيك""، وحين عدت إلى بلاد أبي وجدتهم متورطين بي، يريدونني ولا يريدونني بعضهم سعيد بعودتي، بعضهم في حيرة، والبعض يطلب مني العودة: ""إلى بلاد أمك""."
AR_286,285,AR,"يتجنبني الخدم في فناء البيت ولا يتحدثون إليّ، ويتغيرون تماما إذا ما اجتمعنا في المطبخ بعيدا عن أعين الآخرين.","لا يتحدث إليّ الخدم في فناء البيت، ويتغيرون تماما إذا ما اجتمعنا في المطبخ بعيدا عن الآخرين."
AR_317,316,AR,حملت الأغراض بين يدي المرتجفتين.,حملت الأغراض بين يدي المرتعشتين.
AR_320,319,AR,"عمتي عواطف، بوجه مذعور، وبكلمات إنكليزية غير واضحة، فهمت بعضها، تقول: ""لا يجب أن تدخل على النساء، اطرق الباب وانتظر في الخارج مرة أخرى، هذا لا يجوز، هل تفهم""؟ هززت رأسي موافقا: ""حاضر سيدتي"".","عمتي عواطف، بوجه مرعوب، وبكلمات إنكليزية غير واضحة، فهمت بعضها، تقول: ""لا يجب أن تدخل على النساء، اطرق الباب وانتظر في الخارج مرة أخرى، هذا لا يجوز هل تفهم؟"" هززت رأسي موافقا؛ ""حاضر سيدتي""."
